,amostra,filename,time,class,insigths,segment,wc,wps,i,we,you,they,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,swear,family,friend,humans,affect,posemo,negemo,anx,sad,cogmech,insight,cause,discrep,tentat,certain
22,Daniela,bq4.02.txt,-9,0,0,1,0.0600343053173,0.910509885536,0.563054187192,0.0,0.0,0.0,1.0,0.428571428571,0.5715,0.0,0.321334833146,0.0,0.428357089272,1.0,0.21455363841,0.428785607196,0.0,0.0,0.0,0.0,0.238333333333,0.0,0.0,0.0,0.0,0.314726404701,0.428785607196,0.0,0.0,0.0,0.0
23,Daniela,bq4.03.txt,-8,0,0,1,0.308747855918,0.780437044745,0.437931034483,0.556666666667,0.0,0.0,0.534558180227,0.708286464192,0.528,0.580720092915,0.458192725909,0.433766233766,0.500375093773,0.510498687664,0.624906226557,0.416791604198,0.0,0.0,0.504504504505,0.145454545455,0.37,0.37,0.0,0.0,0.0,0.87734116783,0.332833583208,0.592,0.416791604198,0.28856152513,0.465181058496
24,Daniela,bq4.04.txt,-7,0,0,1,0.730703259005,0.963579604579,0.428078817734,0.156666666667,0.0255555555556,0.425974025974,0.492563429571,0.651293588301,0.6105,0.572590011614,0.325834270716,0.181818181818,0.369842460615,0.646981627297,0.440360090023,0.493253373313,0.370078740157,0.359693877551,0.0,0.303896103896,0.371666666667,0.1175,0.368802902056,0.244155844156,0.156146179402,0.706940874036,0.386806596702,0.376,0.386806596702,0.366551126516,0.456824512535
25,Daniela,bq4.05.txt,-6,0,0,1,0.430531732419,0.72528616025,0.1960591133,0.0,0.265555555556,0.620779220779,0.557305336833,0.702287214098,0.6375,0.1393728223,0.56767904012,0.103896103896,0.537884471118,0.575240594926,0.507876969242,0.35832083958,0.314960629921,0.0,0.0,0.311688311688,0.498333333333,0.331666666667,0.240628778718,0.0,0.265780730897,0.687844289387,0.478260869565,0.637333333333,0.238380809595,0.448873483536,0.554317548747
26,Daniela,bq4.06.txt,-5,0,0,1,0.228130360206,0.461498439126,1.0,0.0,0.0,0.0,0.39457567804,0.563929508811,0.5265,0.0,0.507311586052,0.0,0.0562640660165,0.39457567804,0.112528132033,0.788605697151,0.590551181102,0.0,0.0,0.0,0.94,0.250833333333,1.0,0.194805194805,1.0,0.414248990084,0.451274362819,0.0,0.112443778111,0.195840554593,0.0
27,Daniela,bq4.07.txt,-4,0,0,1,0.617495711835,0.567637877211,0.465024630542,0.186666666667,0.0311111111111,0.145454545455,0.38845144357,0.583427071616,0.5,1.0,0.229096362955,0.0727272727273,0.375093773443,0.595363079615,0.354088522131,0.124437781109,0.220472440945,0.0,1.0,0.145454545455,0.671666666667,0.416666666667,0.302297460701,0.145454545455,0.36877076412,0.448769739258,0.332833583208,0.370666666667,0.0839580209895,0.0485268630849,0.309192200557
28,Daniela,bq4.08.txt,-3,0,0,1,0.296740994854,1.0,0.369950738916,0.0,0.192222222222,0.0,0.657042869641,0.433445819273,0.289,0.403019744483,0.281589801275,0.0,0.47711927982,0.505686789151,0.47711927982,0.0869565217391,0.456692913386,0.0,0.0,0.449350649351,0.433333333333,0.144166666667,0.419588875453,0.0,0.0,0.636797649651,0.607196401799,0.461333333333,0.346326836582,0.350953206239,0.0
29,Daniela,bq4.09.txt,-2,0,0,1,0.171526586621,0.371488033299,0.246305418719,1.0,1.0,0.0,0.262467191601,0.337457817773,0.25,0.0,0.337457817773,0.0,0.375093773443,0.393700787402,0.225056264066,0.149925037481,0.0,0.510204081633,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.403966213735,0.299850074963,0.266666666667,0.299850074963,0.173310225303,0.0
30,Daniela,bq4.10.txt,-1,0,0,1,0.137221269297,0.832466181061,0.554187192118,0.416666666667,0.138888888889,0.0,0.328083989501,0.656167979003,0.4375,0.290360046458,0.515560554931,0.0,0.468867216804,0.601487314086,0.562640660165,0.562218890555,0.0,0.0,0.0,0.324675324675,0.416666666667,0.208333333333,0.302297460701,0.0,0.415282392027,0.872199779655,0.187406296852,1.0,0.187406296852,0.433275563258,0.348189415042
31,Daniela,bq4.11.txt,0,1,1,1,0.548885077187,0.72372528616,0.477339901478,0.0,0.0,0.244155844156,0.573928258968,0.644544431946,0.6875,0.326364692218,0.410198725159,0.405194805195,0.516129032258,0.656167979003,0.445611402851,0.328335832084,0.0,0.0790816326531,0.0,0.161038961039,0.4425,0.3125,0.188633615478,0.161038961039,0.0,0.654058024238,0.421289355322,0.0,0.515742128936,0.216637781629,0.523676880223
